LEMMA	MSD	INF_G	INF_P
iscrtati	V;PRS;NOM(3;SG)	iscrtam	iscrtam
šikljati	V;PRS;NOM(3;SG)	šikljam	šikljam
izredati	V;PRS;NOM(3;SG)	izredam	izredam
ojačati	V;PRS;NOM(3;SG)	ojačam	ojačam
vulgarizirati	V;PRS;NOM(3;SG)	vulgariziram	vulgariziram
raskrinkati	V;PRS;NOM(3;SG)	raskrinkam	raskrinkam
preneražavati	V;PRS;NOM(3;SG)	preneražavam	preneražavam
prodati	V;PRS;NOM(3;SG)	prodam	prodam
dremuckati	V;PRS;NOM(3;SG)	dremuckam	dremuckam
skicirati	V;PRS;NOM(3;SG)	skiciram	skiciram
gluparati	V;PRS;NOM(3;SG)	gluparam	gluparam
parati	V;PRS;NOM(3;SG)	param	param
događati	V;PRS;NOM(3;SG)	događam	događam
pridodati	V;PRS;NOM(3;SG)	pridodam	pridodam
natrpati	V;PRS;NOM(3;SG)	natrpam	natrpam
istjerati	V;PRS;NOM(3;SG)	istjeram	istjeram
habati	V;PRS;NOM(3;SG)	habam	habam
patentirati	V;PRS;NOM(3;SG)	patentiram	patentiram
slušati	V;PRS;NOM(3;SG)	slušam	slušam
etiketirati	V;PRS;NOM(3;SG)	etiketiram	etiketiram
klistirati	V;PRS;NOM(3;SG)	klistiram	klistiram
nadvladati	V;PRS;NOM(3;SG)	nadvladam	nadvladam
iskušati	V;PRS;NOM(3;SG)	iskušam	iskušam
šutirati	V;PRS;NOM(3;SG)	šutiram	šutiram
dokidati	V;PRS;NOM(3;SG)	dokidam	dokidam
izostavljati	V;PRS;NOM(3;SG)	izostavljam	izostavljam
verificirati	V;PRS;NOM(3;SG)	verificiram	verificiram
drukati	V;PRS;NOM(3;SG)	drukam	drukam
ukomponirati	V;PRS;NOM(3;SG)	ukomponiram	ukomponiram
gradirati	V;PRS;NOM(3;SG)	gradiram	gradiram
ugađati	V;PRS;NOM(3;SG)	ugađam	ugađam
inzistirati	V;PRS;NOM(3;SG)	inzistiram	inzistiram
skončavati	V;PRS;NOM(3;SG)	skončavam	skončavam
iskuhavati	V;PRS;NOM(3;SG)	iskuhavam	iskuhavam
prokartati	V;PRS;NOM(3;SG)	prokartam	prokartam
odgajati	V;PRS;NOM(3;SG)	odgajam	odgajam
testirati	V;PRS;NOM(3;SG)	testiram	testiram
spiritualizirati	V;PRS;NOM(3;SG)	spiritualiziram	spiritualiziram
mucati	V;PRS;NOM(3;SG)	mucam	mucam
diskreditirati	V;PRS;NOM(3;SG)	diskreditiram	diskreditiram
buncati	V;PRS;NOM(3;SG)	buncam	buncam
propagirati	V;PRS;NOM(3;SG)	propagiram	propagiram
rasprčkavati	V;PRS;NOM(3;SG)	rasprčkavam	rasprčkavam
blagoslivljati	V;PRS;NOM(3;SG)	blagoslivljam	blagoslivljam
natucati	V;PRS;NOM(3;SG)	natucam	natucam
dotiskati	V;PRS;NOM(3;SG)	dotiskam	dotiskam
izučavati	V;PRS;NOM(3;SG)	izučavam	izučavam
pačati	V;PRS;NOM(3;SG)	pačam	pačam
prignati	V;PRS;NOM(3;SG)	prignam	prignam
nadimati	V;PRS;NOM(3;SG)	nadimam	nadimam
indicirati	V;PRS;NOM(3;SG)	indiciram	indiciram
nastupati	V;PRS;NOM(3;SG)	nastupam	nastupam
oslobađati	V;PRS;NOM(3;SG)	oslobađam	oslobađam
kapkati	V;PRS;NOM(3;SG)	kapkam	kapkam
isteturati	V;PRS;NOM(3;SG)	isteturam	isteturam
robijati	V;PRS;NOM(3;SG)	robijam	robijam
majorizirati	V;PRS;NOM(3;SG)	majoriziram	majoriziram
ograničavati	V;PRS;NOM(3;SG)	ograničavam	ograničavam
koracati	V;PRS;NOM(3;SG)	koracam	koracam
kodificirati	V;PRS;NOM(3;SG)	kodificiram	kodificiram
legalizirati	V;PRS;NOM(3;SG)	legaliziram	legaliziram
odšuljati	V;PRS;NOM(3;SG)	odšuljam	odšuljam
mreškati	V;PRS;NOM(3;SG)	mreškam	mreškam
poklapati	V;PRS;NOM(3;SG)	poklapam	poklapam
čupati	V;PRS;NOM(3;SG)	čupam	čupam
savladati	V;PRS;NOM(3;SG)	savladam	savladam
zgrušati	V;PRS;NOM(3;SG)	zgrušam	zgrušam
očupati	V;PRS;NOM(3;SG)	očupam	očupam
rešetati	V;PRS;NOM(3;SG)	rešetam	rešetam
okrivljavati	V;PRS;NOM(3;SG)	okrivljavam	okrivljavam
komentirati	V;PRS;NOM(3;SG)	komentiram	komentiram
ispitati	V;PRS;NOM(3;SG)	ispitam	ispitam
šmrcati	V;PRS;NOM(3;SG)	šmrcam	šmrcam
prikrpati	V;PRS;NOM(3;SG)	prikrpam	prikrpam
odvijati	V;PRS;NOM(3;SG)	odvijam	odvijam
ispeljati	V;PRS;NOM(3;SG)	ispeljam	ispeljam
nukati	V;PRS;NOM(3;SG)	nukam	nukam
deverati	V;PRS;NOM(3;SG)	deveram	deveram
petljati	V;PRS;NOM(3;SG)	petljam	petljam
