nasukati;nasukah;nasukaš;nasuka;nasukasmo;nasukajte;nasukaju
izdeklamirati;izdeklamiram;izdeklamiraš;izdeklamira;izdeklamirasmo;izdeklamirate;izdeklamiraše
nahvatati;nahvatah;nahvataš;neka nahvata;nahvatasmo;nahvatajte;neka nahvataju
sazrijevati;sazrijevah;sazrijevaše;neka sazrijeva;sazrijevasmo;sazrijevajte;neka sazrijevaju
tupkati;tupkam;tupkaše;tupkaše;tupkasmo;tupkate;tupkaju
jurcati;jurcam;jurcaše;jurcaše;jurcasmo;jurcate;jurcaju
očarati;očarah;očaraj;očara;očarajmo;očarajte;očaraše
pokušati;pokušam;pokušaš;pokuša;pokušasmo;pokušajte;pokušat
šetati;šetah;šeći;šetaše;šećimo;šećite;šetahu
običavati;običavah;običavaš;običava;običavasmo;običavajte;običavaju
iseljavati;iseljavah;iseljavaše;iseljava;iseljavasmo;iseljavajte;iseljavahu
sakrivati;sakrivam;sakrivaše;sakrivaše;sakrivamo;sakrivate;sakrivaju
nabavljati;nabavljam;nabavljaše;nabavljaše;nabavljasmo;nabavljate;nabavljaju
odlepršati;odlepršah;odlepršaš;odleprša;odlepršasmo;odlepršajte;odlepršaše
ušuljati;ušuljam;ušuljaš;ušulja;ušuljasmo;ušuljate;ušuljaše
unjkati;unjkam;unjkaše;unjkaše;unjkasmo;unjkate;unjkaju
lažirati;lažiram;lažiraše;lažiraše;lažirasmo;lažirate;lažiraše
otkucavati;otkucavah;otkucavaše;otkucava;otkucavasmo;otkucavajte;otkucavahu
sazdati;sazdah;sazdaš;sazdade;sazdasmo;sazdaste;sazdaše
uzdati;uzdam;uzdaše;uzdaše;uzdasmo;uzdaste;uzdaju
komunicirati;komuniciram;komuniciraše;komuniciraše;komunicirasmo;komunicirate;komuniciraše
vrebati;vrebam;vrebaše;vrebaše;vrebasmo;vrebate;vrebaju
gustirati;gustiram;gustiraše;gustiraše;gustirasmo;gustirate;gustiraju
transferirati;transferirah;transferiraše;neka transferira;transferirasmo;transferirajte;neka transferiraju
istrugati;istrugam;istrugaš;istruga;istrugasmo;istrugate;istrugaše
telefonirati;telefoniram;telefoniraše;telefoniraše;telefonirasmo;telefonirate;telefoniraše
dozivati;dozivam;dozivaše;dozivaše;dozivasmo;dozivate;dozivaju
prepuštati;prepuštam;prepuštaj;prepuštaše;prepuštamo;-;-
molestirati;molestiram;molestiraše;molestiraše;molestirasmo;molestirate;molestiraju
lektorirati;lektoriram;lektoriraše;lektoriraše;lektorirasmo;lektorirate;lektoriraše
progunđati;progunđam;progunđa;progunđa;-;-;-
kalkulirati;kalkulirah;kalkuliraše;kalkulira;kalkulirasmo;kalkulirajte;kalkulirahu
naviještati;naviještah;naviještaše;neka naviješta;naviještasmo;naviještajte;neka naviještaju
zdrmati;zdrmam;zdrmaš;zdrma;zdrmasmo;zdrmate;zdrmaše
klapati;klapah;klapaš;klapaše;klapasmo;klapajte;klapahu
gnušati;gnušam;gnušaše;gnušaše;gnušasmo;gnušate;gnušaju
