abdiciram,abdicirati
abecediram,abecedirati
adoriram,adorirati
akceleriram,akcelerirati
akcentiram,akcentirati
akceptiram,akceptirati
aktualiziram,aktualizirati
aludiram,aludirati
aluniram,alunirati
amnestiram,amnestirati
amputiram,amputirati
analiziram,analizirati
animiram,animirati
anketiram,anketirati
anticipiram,anticipirati
apeliram,apelirati
apostrofiram,apostrofirati
apsolutiziram,apsolutizirati
apsolviram,apsolvirati
apsorbiram,apsorbirati
apstiniram,apstinirati
apstrahiram,apstrahirati
aranžiram,aranžirati
argumentiram,argumentirati
arhaiziram,arhaizirati
armiram,armirati
asfaltiram,asfaltirati
asistiram,asistirati
atakiram,atakirati
ateriram,aterirati
ažuriram,ažurirati
bacakam,bacakati
bacam,bacati
bacim,baciti
bagateliziram,bagatelizirati
bageriram,bagerirati
bajam,bajati
balansiram,balansirati
balegam,balegati
balim,baliti
balzamiram,balzamirati
banaliziram,banalizirati
bančim,bančiti
banem,banuti
bankrotiram,bankrotirati
baratam,baratati
basam,basati
baštinim,baštiniti
batinam,batinati
batrgam,batrgati
bauljam,bauljati
bavim,baviti
bazam,bazati
bazdim,bazdjeti
baziram,bazirati
baždarim,baždariti
bdijem,bdjeti
bdim,bdjeti
beknem,beknuti
benavim,benaviti
berem,brati
besjedim,besjediti
besposličarim,besposličariti
besposličim,besposličiti
betoniram,betonirati
biflam,biflati
biglišem,biglisati
bijelim,bijeliti
bijem,biti
bilanciram,bilancirati
biljegujem,biljegovati
bilježim,bilježiti
biram,birati
birokratiziram,birokratizirati
biserim,biseriti
bistrim,bistriti
bivam,bivati
bivstvujem,bivstvovati
bjelasam,bjelasati
bjesnim,bjesnjeti
bježim,bježati
blablam,blablati
blagoizvolim,blagoizvoljeti
blagoslivljam,blagoslivljati
blagoslovim,blagosloviti
blagujem,blagovati
blamiram,blamirati
blanjam,blanjati
blatim,blatiti
blažim,blažiti
blebećem,blebetati
blefiram,blefirati
blejim,blejati
blenem,blenuti
blijedim,blijedjeti
blistam,blistati
bližim,bližiti
blokiram,blokirati
bludim,bludjeti
bljesnem,bljesnuti
bljujem,bljuvati
bljuzgam,bljuzgati
bockam,bockati
bocnem,bocnuti
bodem,bosti
bodrim,bodriti
bodujem,bodovati
bogatim,bogatiti
bogohulim,bogohuliti
bogoradim,bogoraditi
bogujem,bogovati
bojadišem,bojadisati
bojim,bojiti
bojkotiram,bojkotirati
bojujem,bojevati
bokorim,bokoriti
boksam,boksati
boldam,boldati
bolujem,bolovati
boljševiziram,boljševizirati
bombardiram,bombardirati
bonitiram,bonitirati
boram,borati
boravim,boraviti
bordižam,bordižati
borim,boriti
botaniziram,botanizirati
božićujem,božićevati
brabonjam,brabonjati
branam,branati
branim,braniti
bratim,bratiti
bratimim,bratimiti
brazdam,brazdati
brbljam,brbljati
brčkam,brčkati
bremzam,bremzati
bridim,bridjeti
brigam,brigati
brijem,brijati
brinem,brinuti
brišem,brisati
brizgam,brizgati
briznem,briznuti
brkam,brkati
brljam,brljati
brljavim,brljaviti
brodarim,brodariti
brodim,broditi
brojim,brojati
broširam,broširati
brstim,brstiti
brtvim,brtviti
brujim,brujati
brukam,brukati
brundam,brundati
bruniram,brunirati
brusim,brusiti
brzam,brzati
brzoglasim,brzoglasiti
brzojavim,brzojaviti
bubam,bubati
bubnem,bubnuti
bubnjam,bubnjati
bubrim,bubriti
bučim,bučati
bućkam,bućkati
bućnem,bućnuti
budalim,budaliti
budim,buditi
budem,biti
bujam,bujati
bukiram,bukirati
buknem,buknuti
buktim,buktjeti
bulaznim,bulazniti
buljim,buljiti
buncam,buncati
bunim,buniti
burgijam,burgijati
burkam,burkati
busam,busati
bušim,bušiti
caklim,cakliti
capkam,capkati
carinim,cariniti
carujem,carevati
cementiram,cementirati
cendram,cendrati
centraliziram,centralizirati
centriram,centrirati
cenzuriram,cenzurirati
ceptim,ceptjeti
cerekam,cerekati
cerim,ceriti
cicam,cičati
cicijašim,cicijašiti
cičim,cičati
cifram,cifrati
cigančim,cigančiti
ciganim,ciganiti
cijedim,cijediti
cijelim,cijeljeti
cijenim,cijeniti
cijepam,cijepati
cikloniziram,ciklonizirati
ciknem,ciknuti
ciljam,ciljati
