glagoli  |  top2     
glumovati: jem, am
odsjedjeti: im, am
čarkati: am, im
pogrubiti: im, am
priseći: em, im
mrmljati: am, em
upriličivati: jem, am
pokaldrmiti: im, am
zagorčati: am, im
pobakriti: im, ijem
priučivati: jem, am
pištavati: am, im
drijeti: em, im
vjerovljivati: jem, am
nagizdati: am, em
zbjeći: em, im
drobljivati: jem, am
gipsati: am, em
mašivati: jem, am
protanjiti: im, am
brbotati: am, em
korotovati: im, jem
podruštveniti: im, jem
mrzivati: jem, am
čerupavati: am, im
prenoćivati: jem, em
svariti: im, jem
pometati: am, em
postignuti: em, im
predskazivati: jem, am
rektoskopirati: am, em
posliti: im, jem
poštrapati: am, im
usavršiti: im, am
stostručiti: im, jem
zašućivati: jem, am
utuživati: jem, am
nabazati: am, em
vojvodovati: jem, am
dotrajati: jem, am
prosječivati: jem, am
kupusavati: jem, am
alibirati: am, im
slaziti: im, jem
isprelamati: am, jem
dopuzati: em, am
bočiti: im, am
omiliti: im, ijem
sfušati: am, im
češavati: am, em
posrbljivati: jem, am
defragmentirati: am, im
gađivati: jem, am
nadrijeti: em, jem
izglasavati: am, jem
škicati: am, em
podušiti: im, ijem
povečerati: am, im
predriblati: am, jem
pohabavati: am, jem
pustjeti: im, am
butati: am, em
ovulirati: am, im
prisipati: am, im
cirkulirati: am, im
poopćiti: im, jem
rektificirati: am, im
opljenjivati: jem, em
tentati: am, em
zakoračivati: jem, am
zaprepaštavati: am, im
zamrznuti: em, im
zajutarkovati: jem, am
adirati: am, em
stumbavati: am, jem
pljuskivati: jem, am
revalvirati: am, em
izdirati: em, am
zamrknuti: em, im
zašiljivati: am, jem
zagudjeti: im, em
oblaziti: im, em
kumljivati: jem, am
gonetnuti: em, jem
iskorišćivati: jem, am
oglušivati: jem, am
začarivati: jem, am
udvostručivati: jem, am
kakiti: im, em
olupljivati: jem, am
udvajati: jem, em
prošvindlavati: am, im
kohabitirati: am, im
zacerekati: am, em
preslagati: em, jem
dirinčiti: im, am
jačavati: am, im
pobješnjeti: im, jem
škripnuti: em, im
razbaciti: im, jem
ozračiti: im, jem
ogrknuti: em, im
plamsati: im, am
dremljivati: jem, am
nadjeti: im, ijem
ustiti: im, jem
opsaditi: im, am
lijati: am, em
porobljivati: jem, am
desenzibilizirati: am, im
numerirati: am, em
nastrijeti: em, jem
potapkati: am, em
preobratiti: im, em
tamnjeti: im, em
kraćati: am, em
nadurivati: jem, am
prometnuti: em, im
razjediniti: im, am
vjetrivati: jem, am
nablebetati: am, em
zaguljivati: jem, am
namišljati: am, jem
blagosiljati: am, im
hrknuti: em, im
potkačiti: im, jem
odčepljivati: jem, am
usjeći: em, im
taložiti: im, jem
zaogrtati: em, am
anglizirati: am, im
kasirati: am, em
požinjati: am, jem
invertirati: am, em
tanačivati: jem, am
iskrečiti: im, jem
bubavati: am, jem
tračavati: am, im
čarivati: jem, am
desperirati: am, em
ozelenjivati: jem, em
omraziti: im, jem
rastrojiti: im, jem
inokulirati: am, im
vikavati: am, im
kokotati: am, em
prazniti: im, em
prosušiti: im, am
obastati: em, am
preplivavati: am, em
progukati: am, em
cinknuti: em, jem
čahuriti: im, jem
spužvariti: im, jem
krinkavati: am, im
majnati: em, am
briditi: im, am
ranjati: am, jem
boravljati: am, em
glodnuti: em, im
poduhvatati: am, em
prednjačiti: im, jem
smješkivati: jem, am
poispravljati: am, jem
