nasukati;nasukam;nasukaš;nasuka;nasukamo;nasukate;nasukaju
izdeklamirati;izdeklamiram;izdeklamiraš;izdeklamira;izdeklamiramo;izdeklamirate;izdeklamiraju
nahvatati;nahvatam;nahvataš;nahvata;nahvatamo;nahvatate;nahvataju
sazrijevati;sazrijevam;sazrijevaš;sazrijeva;sazrijevamo;sazrijevate;sazrijevaju
tupkati;tupkam;tupkaš;tupka;tupkamo;tupkate;tupkaju
jurcati;jurcam;jurcaš;jurca;jurcamo;jurcate;jurcaju
očarati;očaram;očaraš;očara;očaramo;očarate;očaraju
pokušati;pokušam;pokušaš;pokuša;pokušamo;pokušate;pokušaju
šetati;šetam;šetaš;šeta;šetamo;šetate;šetaju
običavati;običavam;običavaš;običava;običavamo;običavate;običavaju
iseljavati;iseljavam;iseljavaš;iseljava;iseljavamo;iseljavate;iseljavaju
sakrivati;sakrivam;sakrivaš;sakriva;sakrivamo;sakrivate;sakrivaju
nabavljati;nabavljam;nabavljaš;nabavlja;nabavljamo;nabavljate;nabavljaju
odlepršati;odlepršam;odlepršaš;odleprša;odlepršamo;odlepršate;odlepršaju
ušuljati;ušuljam;ušuljaš;ušulja;ušuljamo;ušuljate;ušuljaju
unjkati;unjkam;unjkaš;unjka;unjkamo;unjkate;unjkaju
lažirati;lažiram;lažiraš;lažira;lažiramo;lažirate;lažiraju
otkucavati;otkucavam;otkucavaš;otkucava;otkucavamo;otkucavate;otkucavaju
sazdati;sazdam;sazdaš;sazda;sazdamo;sazdate;sazdaju
uzdati;uzdam;uzdaš;uzda;uzdamo;uzdate;uzdaju
komunicirati;komuniciram;komuniciraš;komunicira;komuniciramo;komunicirate;komuniciraju
vrebati;vrebam;vrebaš;vreba;vrebamo;vrebate;vrebaju
gustirati;gustiram;gustiraš;gustira;gustiramo;gustirate;gustiraju
transferirati;transferiram;transferiraš;transferira;transferiramo;transferirate;transferiraju
istrugati;istrugam;istrugaš;istruga;istrugamo;istrugate;istrugaju
telefonirati;telefoniram;telefoniraš;telefonira;telefoniramo;telefonirate;telefoniraju
dozivati;dozivam;dozivaš;doziva;dozivamo;dozivate;dozivaju
