nasukati;nasukan;nasukana;nasukano;nasukani;nasukane;nasukaju
izdeklamirati;izdeklamiran;izdeklamirana;izdeklamirano;izdeklamirani;izdeklamirane;izdeklamiraše
nahvatati;nahvatavši;nahvatana;nahvatano;nahvatani;nahvatane;neka nahvataju
sazrijevati;sazrijevan;sazrijevana;sazrijevano;sazrijevani;sazrijevane;sazrijevajući
tupkati;tupkam;tupkaše;tupkaše;tupkasmo;tupkate;tupkaju
jurcati;jurcan;jurcana;jurcano;jurcani;jurcane;jurcajući
očarati;očarah;očaraj;očara;očarajmo;očarajte;očaraše
pokušati;pokušam;pokušaš;pokuša;pokušasmo;pokušajte;pokušat
šetati;šetah;šeći;šetaše;šećimo;šećite;šetahu
običavati;običavah;običavaš;običavalo;običavasmo;običavajte;običavajući
iseljavati;iseljavan;iseljavana;iseljavano;iseljavani;iseljavane;iseljavajući
sakrivati;sakrivam;sakrivaše;sakrivaše;sakrivamo;sakrivana;sakrivaju
nabavljati;nabavljan;nabavljana;nabavljano;nabavljani;nabavljane;nabavljajući
odlepršati;odlepršao;odlepršala;odlepršalo;odlepršali;odlepršale;odlepršaše
ušuljati;ušuljam;ušuljaš;ušulja;ušuljasmo;ušuljate;ušuljaše
unjkati;unjkam;unjkaše;unjkaše;unjkasmo;unjkate;unjkaju
lažirati;lažiram;lažiraše;lažirano;lažirasmo;lažirane;lažirajući
otkucavati;otkucavan;otkucavana;otkucavano;otkucavani;otkucavane;otkucavajući
sazdati;sazdah;sazdaš;sazdade;sazdasmo;sazdaste;sazdaše
uzdati;uzdam;uzdaše;uzdaše;uzdasmo;uzdate;uzdaju
komunicirati;komuniciran;komunicirana;komunicirano;komunicirani;komunicirane;komunicirajući
vrebati;vrebam;vrebaše;vrebaše;vrebasmo;vrebane;vrebaju
gustirati;gustiran;gustirana;gustirano;gustirani;gustirane;gustiraju
transferirati;transferiravši;transferirana;transferirano;transferirani;transferirane;transferirajući
istrugati;istrugan;istrugana;istrugano;istrugani;istrugane;istrugaše
telefonirati;telefoniram;telefoniraše;telefoniraše;telefonirasmo;telefonirate;telefoniraše
dozivati;dozivam;dozivaše;dozivaše;dozivasmo;dozivani;dozivaju
prepuštati;prepuštam;prepuštaj;prepuštaše;prepuštamo;prepuštana;-
molestirati;molestiram;molestiraše;molestiraše;molestirasmo;molestirana;molestiraju
lektorirati;lektoriran;lektorirana;lektorirano;lektorirani;lektorirane;lektorirajući
progunđati;progunđam;progunđa;progunđa;-;-;-
kalkulirati;kalkuliran;kalkulirana;kalkulirano;kalkulirani;kalkulirane;kalkulirajući
naviještati;naviještan;naviještana;naviještano;naviještani;naviještane;neka naviještaju
zdrmati;zdrman;zdrmana;zdrmano;zdrmani;zdrmane;zdrmaše
klapati;klapao;klapala;klapalo;klapali;klapale;klapahu
gnušati;gnušam;gnušaše;gnušaše;gnušasmo;gnušate;gnušaju
poredati;poredam;poredaš;poreda;poredasmo;poredajte;poredaju
vijugati;vijugam;vijugaše;vijugaše;vijugasmo;vijugate;vijugaju
umnažati;umnažavši;umnažana;umnažano;umnažani;umnažane;umnažajući
primati;primam;primaše;primaše;primajmo;primana;primahu
